# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
3.900000000000000000e+02,1.222136486282072955e-03,5.479061688360022109e-03,6.008529239118668742e-03,5.484104738561333681e-03,2.270406102857782879e-04,3.395856553121484535e-04,3.757819289807566858e-04,3.569462187113207224e-04
3.920000000000000000e+02,1.220493981408972113e-03,5.498418505396025953e-03,5.949386650512699347e-03,5.487834574817805795e-03,2.246968223499992993e-04,3.328556637115396774e-04,3.661737169024611343e-04,3.520172897600896619e-04
3.940000000000000000e+02,1.272613764048101826e-03,5.553995640394358141e-03,6.079556904038409954e-03,5.554121894057236636e-03,2.163811414097450254e-04,3.247723096517598270e-04,3.558363598437624801e-04,3.437512858018140684e-04
3.960000000000000000e+02,1.675762056916492481e-03,5.928588487081439679e-03,7.554109461250849838e-03,5.914582474566789337e-03,2.276407103853094784e-04,3.256404034735879065e-04,3.762515973458993883e-04,3.428997063705172790e-04
3.980000000000000000e+02,3.622665284144224382e-03,7.487839798598371933e-03,1.553918544695581487e-02,7.466528414109245212e-03,2.726506403114941344e-04,3.513298391653050579e-04,4.966078584126364754e-04,3.655596953721991678e-04
4.000000000000000000e+02,8.842652862171994713e-03,1.166845550356157904e-02,3.898642110221817864e-02,1.160747092037394367e-02,3.811357652877762946e-04,4.165906343609148115e-04,7.304926643085914379e-04,4.298848100045410945e-04
4.020000000000000000e+02,1.507631850607509504e-02,1.653222204636395007e-02,7.154137166032528694e-02,1.643564371415486697e-02,4.830638442070637312e-04,4.909271076890317888e-04,9.917628518600098142e-04,4.983246852060500701e-04
4.040000000000000000e+02,2.087016393894536651e-02,2.112499947223259178e-02,1.087002201155046893e-01,2.097120824082553819e-02,5.843773827128736185e-04,5.752054902249296260e-04,1.256432863777175255e-03,5.788910973477505179e-04
4.060000000000000000e+02,2.633557120589965703e-02,2.553489415823569433e-02,1.515064949528691363e-01,2.530410159219003904e-02,6.828719122845497034e-04,6.581851854876941479e-04,1.566310835424598435e-03,6.580285210773861642e-04
4.080000000000000000e+02,3.110652303758415504e-02,2.976599829137836772e-02,1.978726408426220162e-01,2.945660656226984850e-02,7.720923796507149928e-04,7.450275002089126958e-04,1.873240485823640189e-03,7.366883133729288345e-04
4.100000000000000000e+02,3.426346425341921659e-02,3.310258720878569288e-02,2.422963056669183990e-01,3.272054952832501029e-02,8.222670210885508341e-04,8.074607400518784726e-04,2.151532880329069461e-03,8.008246089548706889e-04
4.120000000000000000e+02,3.684284671640476738e-02,3.640056074328471003e-02,2.888218935251843367e-01,3.594537397414712676e-02,8.814076331137766411e-04,8.764713361414660934e-04,2.364060867105677918e-03,8.678632893086941566e-04
4.140000000000000000e+02,3.854751318620826955e-02,3.908590640943447603e-02,3.318265183846629274e-01,3.855560521185335404e-02,9.097028788277810273e-04,9.390199447717288705e-04,2.420079045779825570e-03,9.242641266338452819e-04
4.160000000000000000e+02,3.924765825816939335e-02,4.074334279538763953e-02,3.678950470229184200e-01,4.016391314224801445e-02,9.364013628429730153e-04,9.926016437271729855e-04,2.518029516716431548e-03,9.647362333580027354e-04
4.180000000000000000e+02,3.886427366826760571e-02,4.101941645115234764e-02,3.958521882733287423e-01,4.039388914717928492e-02,9.338765604113137509e-04,1.014268363984875470e-03,2.568639215311200891e-03,1.002129409472158044e-03
4.200000000000000000e+02,3.809791043114095499e-02,4.032991853494512224e-02,4.229828989354288415e-01,3.967919901366378371e-02,9.218463500995845595e-04,1.025768273756159921e-03,2.617709478483373764e-03,1.003865905447126399e-03
4.220000000000000000e+02,3.753913910266784559e-02,3.937825469881633955e-02,4.557646304679227600e-01,3.866286535173668604e-02,9.106309204116128661e-04,1.024601232097859796e-03,2.788673762475181710e-03,1.026641415406452738e-03
4.240000000000000000e+02,3.650054074190818565e-02,3.769095272932306701e-02,4.834301577699262054e-01,3.692711321147531395e-02,9.009469753860449527e-04,1.018654569233629764e-03,2.870454756731654049e-03,9.985889459783107817e-04
4.260000000000000000e+02,3.524175345943792587e-02,3.599660289313945383e-02,5.072137721493570339e-01,3.518738002895186595e-02,6.787121492377573952e-04,7.587194433321415438e-04,2.343458339825240950e-03,7.416834642039950472e-04
4.280000000000000000e+02,3.387135748780925604e-02,3.471765200967333320e-02,5.265415482482403986e-01,3.387896733382383951e-02,6.549890346121636396e-04,7.579261031073061339e-04,2.404177285984754938e-03,7.337281033655579810e-04
4.300000000000000000e+02,3.271978164755915547e-02,3.452402008972494524e-02,5.455177778755604390e-01,3.364146134309450170e-02,6.445634834536975548e-04,7.705311897468614243e-04,2.455343640845401940e-03,7.396717995456012894e-04
4.320000000000000000e+02,3.142288658489277020e-02,3.522900700269626650e-02,5.619351914900410083e-01,3.431250072987595406e-02,6.173856382996668370e-04,7.824031321027746658e-04,2.488174032936951458e-03,7.547746285080542432e-04
4.340000000000000000e+02,3.058801800151278796e-02,3.744379425606737810e-02,5.859629542240272215e-01,3.650048464946294841e-02,6.089025226774795636e-04,8.210079473968554193e-04,2.555024396268716549e-03,8.014257830761748998e-04
4.360000000000000000e+02,2.963457069575050479e-02,4.036007905365069509e-02,6.065142239022316417e-01,3.939304026705951756e-02,5.793260127776156789e-04,8.693734342084207369e-04,2.574281200505075095e-03,8.505922559213645621e-04
4.380000000000000000e+02,2.894063440181822780e-02,4.425912808390903425e-02,6.313387165629406050e-01,4.323903384378749437e-02,5.772089294158573797e-04,9.312761892795496949e-04,2.663848210887293649e-03,9.053341671168267137e-04
4.400000000000000000e+02,2.789357414506203614e-02,4.790070237610832837e-02,6.479630255068853373e-01,4.684761797121131388e-02,5.545637572862758928e-04,9.899593183900930442e-04,2.698067816788742284e-03,9.632458451373051341e-04
4.420000000000000000e+02,2.715472404730644163e-02,5.192723279962938726e-02,6.705467711019602595e-01,5.084606156269789318e-02,5.484633998410195707e-04,1.050758449719647967e-03,2.757759613166112754e-03,1.022857899366028545e-03
4.440000000000000000e+02,2.606200128840416991e-02,5.465016633528497342e-02,6.847219485388676974e-01,5.354015623653474859e-02,5.254742905047604965e-04,1.088567113761250123e-03,2.819108444465232705e-03,1.065571996344582325e-03
4.460000000000000000e+02,2.503022000910520503e-02,5.613135808283691713e-02,6.997090154461343969e-01,5.499870042882910870e-02,5.113981046030425213e-04,1.123679738856088114e-03,2.885780569250576914e-03,1.104196269962455165e-03
4.480000000000000000e+02,2.379097978803601174e-02,5.566267909289214499e-02,7.091565491192954873e-01,5.449773402730045957e-02,4.964549843196867538e-04,1.129181828202052663e-03,3.005216429739594828e-03,1.114856769920587578e-03
4.500000000000000000e+02,2.272200905836211510e-02,5.397954510535288297e-02,7.222267623960199057e-01,5.280172643356564194e-02,7.479118921144904371e-04,1.676051929138884771e-03,4.554178347564427631e-03,1.637550918291597697e-03
4.520000000000000000e+02,2.192004301511460071e-02,5.198889168128247029e-02,7.362587240418514423e-01,5.080392051554780825e-02,7.275192030213789357e-04,1.655192083406865607e-03,4.645131179470276574e-03,1.613135470725491488e-03
4.540000000000000000e+02,2.106324130035347117e-02,5.005091186245491652e-02,7.457274337152978161e-01,4.882467517150404501e-02,7.126629179430779689e-04,1.652028044913693688e-03,4.681993173602808089e-03,1.608733420151804835e-03
4.560000000000000000e+02,2.050475236262023354e-02,4.962053632033369688e-02,7.554362710442817930e-01,4.836899646676066922e-02,7.011085865279316747e-04,1.678309080941201448e-03,4.712845342108925618e-03,1.639096098666402131e-03
4.580000000000000000e+02,2.032759109795197888e-02,5.182815529883463834e-02,7.661540990637799586e-01,5.055515239544750711e-02,6.971636544030626560e-04,1.752503156501697325e-03,4.696228414606381553e-03,1.733973329337694250e-03
