# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
3.900000000000000000e+02,1.001282919611029944e-03,3.725188035333097929e-03,5.065858015941850610e-03,3.769871370397910853e-03,1.097676436398666890e-03,1.350541452867100832e-03,1.448153516251291699e-03,1.346601577747595863e-03
3.920000000000000000e+02,1.023078934925331128e-03,3.769498723891479344e-03,5.024945697770294949e-03,3.844729402292840388e-03,1.099365248068025474e-03,1.343299662501882619e-03,1.396951509070081671e-03,1.323591769438858812e-03
3.940000000000000000e+02,1.022140674353095224e-03,3.838180767040349269e-03,5.039902852339434892e-03,3.902062340487148871e-03,1.089998630745800867e-03,1.314876554319476367e-03,1.419296236412821623e-03,1.317562314598275585e-03
3.960000000000000000e+02,1.084543754578947599e-03,3.947167965285713898e-03,5.148922309834370187e-03,3.980504302185642121e-03,1.096917598058691750e-03,1.289391443083732439e-03,1.358659252490082353e-03,1.281164960696570257e-03
3.980000000000000000e+02,1.103423874548135810e-03,3.957067048983515037e-03,5.315905746899500690e-03,4.051717310659131918e-03,1.080314638765538914e-03,1.261433273098749516e-03,1.356087006995735766e-03,1.272740962631833906e-03
4.000000000000000000e+02,1.178056020947905761e-03,4.087447520669297736e-03,5.945923468788020215e-03,4.127008733828440440e-03,1.021234779184805206e-03,1.266907022216295052e-03,1.382638443080818399e-03,1.258032125026805606e-03
4.020000000000000000e+02,1.313941544650914757e-03,4.249957928066414904e-03,7.738365598423401631e-03,4.317618758674828319e-03,1.074809636208493577e-03,1.248313951221244377e-03,1.497999433505028174e-03,1.227428904834562988e-03
4.040000000000000000e+02,1.769926841530691276e-03,4.760203438153911767e-03,1.411263098296731099e-02,4.750018587588679050e-03,1.104662701710727897e-03,1.262849690984330434e-03,2.359830207125244300e-03,1.300814131277732355e-03
4.060000000000000000e+02,3.137967794678640353e-03,6.191014191850017535e-03,3.543516336899000391e-02,6.190039373012502441e-03,1.240231451752631239e-03,1.374306935509877949e-03,5.472097796859365371e-03,1.372020982131370425e-03
4.080000000000000000e+02,6.476012509171364534e-03,9.996390692922981977e-03,9.286299128023464688e-02,1.006083729147692722e-02,1.484704646550831422e-03,1.502649077154446459e-03,6.772552357773363278e-03,1.536922818771548202e-03
4.100000000000000000e+02,1.186071251920863857e-02,1.672221585879574840e-02,1.900062455543452822e-01,1.674666875976899352e-02,1.626741411953532826e-03,1.664674301783566120e-03,5.075008454083095553e-03,1.676876555038085909e-03
4.120000000000000000e+02,1.638151149638739090e-02,2.405123099147144644e-02,2.896431784005306098e-01,2.405283059889661706e-02,1.796059660386741192e-03,1.937849824947826581e-03,5.269542625981850012e-03,1.933880395535719863e-03
4.140000000000000000e+02,1.790554762181330653e-02,2.890376587311457163e-02,3.446319524079443086e-01,2.893302713001848908e-02,1.849910747399037807e-03,2.185642818236412013e-03,5.815729864860923713e-03,2.186992110081736277e-03
