# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
3.900000000000000000e+02,1.553731035922870183e-03,4.775867514870180824e-03,6.868185537683100042e-03,4.784596291815035145e-03,8.206621999809391409e-04,1.013113467042526562e-03,1.086606595948683357e-03,1.010905423918268854e-03
3.920000000000000000e+02,1.901739636167204149e-03,5.098756315329040952e-03,8.088603692373281737e-03,5.120392645857082745e-03,8.069577606809702182e-04,1.023366217871058814e-03,1.112353372680109816e-03,1.016947097182551536e-03
3.940000000000000000e+02,2.112707970149656049e-03,5.346770719788502060e-03,9.184899411267226713e-03,5.362535351622146201e-03,8.017152753392546962e-04,1.026166493100683780e-03,1.140464320679512780e-03,1.020038594811014917e-03
3.960000000000000000e+02,2.224960259341700677e-03,5.488339654568348373e-03,1.014252734405587594e-02,5.530254147405474184e-03,7.949024603535263496e-04,1.015737400226141137e-03,1.152548787471203030e-03,1.018481125210766785e-03
3.980000000000000000e+02,2.381370906257133414e-03,5.664282521206653875e-03,1.154931168446999244e-02,5.690313209237633958e-03,7.710693604167421188e-04,1.005924568640863400e-03,1.168290784998037273e-03,1.001786156461415174e-03
4.000000000000000000e+02,2.716560562603219896e-03,5.980202790615471095e-03,1.402077588424367229e-02,5.992986072951617463e-03,7.907548386811872818e-04,9.947114906781072061e-04,1.185011607369825578e-03,1.009019007085446050e-03
4.020000000000000000e+02,3.095271988146763333e-03,6.210885697470235403e-03,1.700995443263042875e-02,6.264783120277450656e-03,7.883754326406172469e-04,9.973183928245425017e-04,1.192326206641376382e-03,9.820759827062059116e-04
4.040000000000000000e+02,3.565704661283385524e-03,6.525671172789184252e-03,2.095184335569036729e-02,6.607054739577944251e-03,8.170862140608585195e-04,9.880080153906198401e-04,1.310521258249517946e-03,9.894869356956781988e-04
4.060000000000000000e+02,4.560261679711061222e-03,7.081886693546380826e-03,2.872970056983146711e-02,7.148969983438822375e-03,8.715968257984231136e-04,9.838064905228136037e-04,1.400795745782590666e-03,9.795000919461008086e-04
4.080000000000000000e+02,7.412458468398502517e-03,8.698626965411853859e-03,4.923326671845956043e-02,8.778451346735733490e-03,1.006052805949660426e-03,1.012384483255129343e-03,1.793069271437366507e-03,1.042056389704753032e-03
4.100000000000000000e+02,1.341740919401217778e-02,1.206117814020713983e-02,9.507740598251684938e-02,1.222450453011453102e-02,1.119260954870477786e-03,1.091374556219275923e-03,2.536803066997559645e-03,1.071465658449276834e-03
4.120000000000000000e+02,2.153494665034067640e-02,1.686635851928313182e-02,1.680321032742797260e-01,1.712692372665582455e-02,1.444233506871522464e-03,1.182165826364484649e-03,3.428435311394076833e-03,1.181824126039396740e-03
4.140000000000000000e+02,3.084587511356089856e-02,2.276780532823128450e-02,2.614808650607565732e-01,2.313783646867592983e-02,1.708242600375666073e-03,1.508080786519971515e-03,4.475440784959929322e-03,1.454715250682526908e-03
4.160000000000000000e+02,4.027321617298552925e-02,2.888511175869101430e-02,3.708383301634207707e-01,2.937845922987984693e-02,2.126249338827103721e-03,1.710424871961358255e-03,5.717578705833242618e-03,1.748890345617269519e-03
4.180000000000000000e+02,4.466747953743203242e-02,3.178607887551517658e-02,4.467779016472004927e-01,3.244282409334464656e-02,2.296377695418612072e-03,1.874252565517367172e-03,6.578613680949915027e-03,1.918260969273948404e-03
4.200000000000000000e+02,4.310189138203799480e-02,3.074155131409114783e-02,4.751659338522197240e-01,3.141805647995270928e-02,2.245262180146190972e-03,1.838624027455159531e-03,6.835358864436000791e-03,1.877129902670711566e-03
4.220000000000000000e+02,4.087239670696594940e-02,2.895181211130883753e-02,5.014047898264051284e-01,2.963648249692615172e-02,2.172563207902214726e-03,1.805259784305865509e-03,7.081003352838739773e-03,1.832198522002237819e-03
4.240000000000000000e+02,3.907864537356467438e-02,2.725091453578546916e-02,5.310560558110843932e-01,2.799380595631021512e-02,2.069622707799533088e-03,1.753350830155801831e-03,7.498846305198036966e-03,1.753520700824683391e-03
4.260000000000000000e+02,3.683052263681939331e-02,2.556568055484005966e-02,5.493215535343521916e-01,2.630922225536699161e-02,1.993717056972370717e-03,1.703917534900746197e-03,7.582437800130518296e-03,1.719738866552966705e-03
4.280000000000000000e+02,3.475331699171748528e-02,2.444789511987366382e-02,5.627930778327918659e-01,2.521436429485986869e-02,1.891297647896806417e-03,1.668355350161736901e-03,7.653444568718525964e-03,1.665525748795767961e-03
